p,m,phim,nSlots,init(p),init(p^2),keyGen,encode(F_p),encode(F_p^d),encode(Z_p^r),encode(R_(p^r)^d),encrypt,decrypt,decode(p),decode(p^2),level,addConst,add,multConst,mult,mult2,autoNative,autoTypical,inProd10
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,2,0.00145616,0.00014818,0.0015453,0.0546306,,0.0457364,0.000225029,0.060915
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,4,0.00287916,0.0002625,0.00305088,0.0617432,0.132779,0.0524127,0.000328718,0.071465
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,8,0.00571996,0.00048648,0.00603947,0.0757103,0.170426,0.0654334,0.000474361,0.094477
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,16,0.0118423,0.00092732,0.0125362,0.15494,0.303228,0.143487,0.000827368,0.194217
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,32,0.0193751,0.00036951,0.0204081,0.289017,0.53639,0.196575,0.00114322,1.26975
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,45,0.0193117,0.00037182,0.0202832,0.289195,0.536374,0.197476,0.00111763,1.26822
2,20485,15360,640,0,0,2.42803,0.00095775,0.0016945,0.0115003,0.0136603,0.0784242,0.0346484,0.0630324,0.468708,2,0.00152002,0.0001262,0.00159202,0.0445709,,0.0353127,0.000182359,0.049618
2,20485,15360,640,0,0,2.42803,0.00095775,0.0016945,0.0115003,0.0136603,0.0784242,0.0346484,0.0630324,0.468708,4,0.0029911,0.00022381,0.0031314,0.0518321,0.118509,0.0416947,0.000242114,0.06044
2,20485,15360,640,0,0,2.42803,0.00095775,0.0016945,0.0115003,0.0136603,0.0784242,0.0346484,0.0630324,0.468708,8,0.00595321,0.0004085,0.00622253,0.0809287,0.155351,0.0708579,0.000389541,0.098255
2,20485,15360,640,0,0,2.42803,0.00095775,0.0016945,0.0115003,0.0136603,0.0784242,0.0346484,0.0630324,0.468708,16,0.0121006,0.00079056,0.0126247,0.138192,0.327171,0.125256,0.000664892,0.171636
2,20485,15360,640,0,0,2.42803,0.00095775,0.0016945,0.0115003,0.0136603,0.0784242,0.0346484,0.0630324,0.468708,32,0.0184331,0.00028567,0.0192447,0.237853,0.469962,0.177706,0.000868583,1.08099
2,20485,15360,640,0,0,2.42803,0.00095775,0.0016945,0.0115003,0.0136603,0.0784242,0.0346484,0.0630324,0.468708,37,0.0177528,0.0002751,0.0183401,0.23723,0.440672,0.17237,0.000874694,1.08156
2,21845,16384,1024,0,0,3.55559,0.00111575,0.001896,0.0125463,0.0142472,0.0893912,0.0390129,0.104985,0.548611,2,0.00160139,0.0001341,0.00168253,0.0546728,,0.0452263,0.000232077,0.058813
2,21845,16384,1024,0,0,3.55559,0.00111575,0.001896,0.0125463,0.0142472,0.0893912,0.0390129,0.104985,0.548611,4,0.00315362,0.0002405,0.00330393,0.0621398,0.136389,0.055268,0.000317289,0.070954
2,21845,16384,1024,0,0,3.55559,0.00111575,0.001896,0.0125463,0.0142472,0.0893912,0.0390129,0.104985,0.548611,8,0.00630452,0.00043998,0.00658665,0.0952597,0.175513,0.083806,0.000451421,0.113211
2,21845,16384,1024,0,0,3.55559,0.00111575,0.001896,0.0125463,0.0142472,0.0893912,0.0390129,0.104985,0.548611,16,0.0127984,0.00085371,0.0133744,0.157417,0.309589,0.144145,0.000764216,0.193004
2,21845,16384,1024,0,0,3.55559,0.00111575,0.001896,0.0125463,0.0142472,0.0893912,0.0390129,0.104985,0.548611,32,0.0194715,0.00031307,0.0202811,0.28124,0.520457,0.190779,0.000964447,1.24062
2,21845,16384,1024,0,0,3.55559,0.00111575,0.001896,0.0125463,0.0142472,0.0893912,0.0390129,0.104985,0.548611,41,0.0194904,0.00031036,0.0202522,0.280862,0.520456,0.190722,0.000962351,1.24032
2,49981,49500,1650,0,0,63.4001,0.0036825,0.005245,0.0437043,0.0544775,0.60714,0.278382,0.516933,4.62977,2,0.00403424,0.00042243,0.0042544,0.270027,,0.243865,0.00109421,0.2903
2,49981,49500,1650,0,0,63.4001,0.0036825,0.005245,0.0437043,0.0544775,0.60714,0.278382,0.516933,4.62977,4,0.00808434,0.00072938,0.00849115,0.289735,0.537782,0.261207,0.00142617,0.315523
2,49981,49500,1650,0,0,63.4001,0.0036825,0.005245,0.0437043,0.0544775,0.60714,0.278382,0.516933,4.62977,8,0.0164641,0.00133912,0.0172862,0.328535,0.642117,0.296342,0.00194793,0.383533
2,49981,49500,1650,0,0,63.4001,0.0036825,0.005245,0.0437043,0.0544775,0.60714,0.278382,0.516933,4.62977,16,0.0332307,0.00280949,0.0348743,0.404979,0.857165,0.373837,0.00297397,0.529361
2,49981,49500,1650,0,0,63.4001,0.0036825,0.005245,0.0437043,0.0544775,0.60714,0.278382,0.516933,4.62977,32,0.066495,0.00607258,0.0695769,0.718376,1.58038,0.666982,0.00535117,0.988926
2,49981,49500,1650,0,0,63.4001,0.0036825,0.005245,0.0437043,0.0544775,0.60714,0.278382,0.516933,4.62977,64,0.14363,0.00430411,0.143819,1.97059,3.65024,1.32082,0.00959883,8.36631
2,49981,49500,1650,0,0,63.4001,0.0036825,0.005245,0.0437043,0.0544775,0.60714,0.278382,0.516933,4.62977,127,0.143043,0.00434997,0.143377,1.97177,3.64952,1.31799,0.00975152,8.34735
2,53261,46080,1920,0,0,27.7209,0.003878,0.006001,0.0409135,0.0484385,0.589067,0.281843,0.556019,4.08471,2,0.00419902,0.00039813,0.0043616,0.255571,,0.22736,0.00124089,0.272075
2,53261,46080,1920,0,0,27.7209,0.003878,0.006001,0.0409135,0.0484385,0.589067,0.281843,0.556019,4.08471,4,0.00834696,0.00069301,0.00873155,0.276918,0.52395,0.24746,0.00146639,0.306678
2,53261,46080,1920,0,0,27.7209,0.003878,0.006001,0.0409135,0.0484385,0.589067,0.281843,0.556019,4.08471,8,0.0170258,0.00123928,0.0177064,0.314353,0.649945,0.285145,0.00182656,0.367113
2,53261,46080,1920,0,0,27.7209,0.003878,0.006001,0.0409135,0.0484385,0.589067,0.281843,0.556019,4.08471,16,0.0342243,0.0026096,0.0356874,0.396177,0.843483,0.358608,0.00280246,0.51013
2,53261,46080,1920,0,0,27.7209,0.003878,0.006001,0.0409135,0.0484385,0.589067,0.281843,0.556019,4.08471,32,0.0687346,0.0055343,0.0714649,0.697027,1.57129,0.649889,0.00493383,0.945645
2,53261,46080,1920,0,0,27.7209,0.003878,0.006001,0.0409135,0.0484385,0.589067,0.281843,0.556019,4.08471,64,0.13772,0.00374056,0.138203,1.91764,3.47757,1.23934,0.00825354,7.98885
2,53261,46080,1920,0,0,27.7209,0.003878,0.006001,0.0409135,0.0484385,0.589067,0.281843,0.556019,4.08471,117,0.137699,0.00369289,0.141338,1.87754,3.46461,1.24789,0.00831845,8.18247
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Input layer,,,,,h1,h2,ouput,,,,,,,,,
,,,,,,,(784*512)*enc+(784*512)*mul + (783*512) * add,,,,,(512*enc + 512*10*enc + 512*10*mul + 511*10*add),,,,,10*enc + 10*add,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,784*enc + (784*512)*enc+(784*512)*mul + (783*512) * add,,,,,(512*enc + 512*10*enc + 512*10*mul + 511*10*add),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(784*512)*enc+(784*512)*mul + (783*512) * add,,,,,(512*enc + 512*10*enc + 512*10*mul + 511*10*add),,,,,10*enc + 10*add,,,,,,
